@relation 'adult.data-weka.filters.unsupervised.attribute.Remove-V-R11-12,6,8,10,15_clustered'

@attribute Instance_number numeric
@attribute capital-gain numeric
@attribute capital-loss numeric
@attribute marital-status {' Never-married',' Married-civ-spouse',' Divorced',' Married-spouse-absent',' Separated',' Married-AF-spouse',' Widowed'}
@attribute relationship {' Not-in-family',' Husband',' Wife',' Own-child',' Unmarried',' Other-relative'}
@attribute sex {' Male',' Female'}
@attribute class {' <=50K',' >50K'}
@attribute Cluster {cluster0,cluster1,cluster2}

@data
4094,0,0,' Married-civ-spouse',' Husband',' Male',' <=50K',cluster1
4095,0,0,' Married-civ-spouse',' Husband',' Male',' <=50K',cluster1
4096,0,0,' Married-civ-spouse',' Husband',' Male',' >50K',cluster1
4097,0,1902,' Married-civ-spouse',' Husband',' Male',' >50K',cluster2
4098,0,0,' Never-married',' Own-child',' Male',' <=50K',cluster1
4099,0,0,' Married-civ-spouse',' Husband',' Male',' <=50K',cluster1
4100,0,0,' Never-married',' Unmarried',' Male',' <=50K',cluster0
4101,0,0,' Married-civ-spouse',' Husband',' Male',' <=50K',cluster1
4102,0,0,' Married-civ-spouse',' Husband',' Male',' <=50K',cluster1
4103,0,0,' Never-married',' Not-in-family',' Male',' <=50K',cluster1
4104,0,0,' Married-civ-spouse',' Husband',' Male',' <=50K',cluster1
4105,0,0,' Divorced',' Not-in-family',' Male',' <=50K',cluster0
4106,0,0,' Never-married',' Not-in-family',' Female',' <=50K',cluster0
4107,0,0,' Married-civ-spouse',' Not-in-family',' Male',' <=50K',cluster0
4108,0,0,' Never-married',' Not-in-family',' Male',' <=50K',cluster1
4109,991,0,' Widowed',' Other-relative',' Female',' <=50K',cluster1
4110,0,0,' Never-married',' Not-in-family',' Female',' <=50K',cluster0
4111,0,0,' Divorced',' Not-in-family',' Male',' <=50K',cluster0
4112,0,0,' Divorced',' Unmarried',' Female',' >50K',cluster0
4113,0,0,' Never-married',' Not-in-family',' Female',' <=50K',cluster0
4114,1055,0,' Never-married',' Not-in-family',' Female',' <=50K',cluster1
4115,5178,0,' Married-civ-spouse',' Husband',' Male',' >50K',cluster1
4116,0,0,' Married-civ-spouse',' Husband',' Male',' <=50K',cluster1
4117,0,0,' Never-married',' Own-child',' Male',' <=50K',cluster1
4118,6849,0,' Never-married',' Not-in-family',' Male',' <=50K',cluster1
4119,0,0,' Married-civ-spouse',' Husband',' Male',' <=50K',cluster1
4120,0,0,' Divorced',' Not-in-family',' Female',' <=50K',cluster0
4121,0,0,' Married-civ-spouse',' Husband',' Male',' >50K',cluster1
4122,0,0,' Married-civ-spouse',' Husband',' Male',' <=50K',cluster1
4123,0,0,' Divorced',' Own-child',' Female',' <=50K',cluster0
4124,0,0,' Never-married',' Not-in-family',' Male',' <=50K',cluster1
4125,0,0,' Married-civ-spouse',' Husband',' Male',' <=50K',cluster1
4126,0,0,' Married-civ-spouse',' Husband',' Male',' <=50K',cluster1
4127,15024,0,' Married-civ-spouse',' Husband',' Male',' >50K',cluster1
4128,0,0,' Never-married',' Own-child',' Female',' <=50K',cluster0
4129,0,0,' Never-married',' Not-in-family',' Female',' <=50K',cluster0
4130,0,0,' Never-married',' Unmarried',' Male',' <=50K',cluster0
4131,0,1887,' Married-civ-spouse',' Husband',' Male',' >50K',cluster2
4132,0,0,' Married-civ-spouse',' Husband',' Male',' <=50K',cluster1
4133,0,0,' Married-civ-spouse',' Husband',' Male',' >50K',cluster1
4134,0,0,' Divorced',' Unmarried',' Female',' <=50K',cluster0
4135,0,0,' Never-married',' Unmarried',' Female',' <=50K',cluster0
4136,0,0,' Married-civ-spouse',' Husband',' Male',' <=50K',cluster1
4137,0,1887,' Married-civ-spouse',' Husband',' Male',' >50K',cluster2
4138,0,0,' Never-married',' Own-child',' Female',' <=50K',cluster0
4139,0,0,' Never-married',' Own-child',' Male',' <=50K',cluster1
4140,0,0,' Married-civ-spouse',' Husband',' Male',' <=50K',cluster1
4141,0,0,' Divorced',' Not-in-family',' Male',' <=50K',cluster0
4142,0,0,' Never-married',' Not-in-family',' Female',' <=50K',cluster0
4143,0,0,' Married-civ-spouse',' Husband',' Male',' >50K',cluster1
4144,0,0,' Divorced',' Unmarried',' Female',' <=50K',cluster0
4145,0,0,' Married-civ-spouse',' Wife',' Female',' >50K',cluster0
4146,0,0,' Married-civ-spouse',' Husband',' Male',' <=50K',cluster1
4147,0,0,' Married-civ-spouse',' Husband',' Male',' <=50K',cluster1
4148,0,0,' Married-civ-spouse',' Husband',' Male',' <=50K',cluster1
4149,0,0,' Never-married',' Own-child',' Male',' <=50K',cluster1
4150,0,0,' Divorced',' Not-in-family',' Male',' <=50K',cluster0
4151,1506,0,' Divorced',' Unmarried',' Female',' <=50K',cluster1
4152,0,0,' Never-married',' Own-child',' Male',' <=50K',cluster1
4153,3325,0,' Never-married',' Not-in-family',' Male',' <=50K',cluster1
4154,0,0,' Married-civ-spouse',' Husband',' Male',' >50K',cluster1
4155,0,0,' Never-married',' Other-relative',' Male',' <=50K',cluster1
4156,0,0,' Never-married',' Own-child',' Female',' <=50K',cluster0
4157,0,0,' Divorced',' Not-in-family',' Male',' <=50K',cluster0
4158,0,0,' Divorced',' Unmarried',' Female',' <=50K',cluster0
4159,0,0,' Married-civ-spouse',' Husband',' Male',' <=50K',cluster1
4160,3137,0,' Married-civ-spouse',' Own-child',' Male',' <=50K',cluster1
4161,0,0,' Married-civ-spouse',' Husband',' Male',' <=50K',cluster1
4162,0,0,' Married-civ-spouse',' Husband',' Male',' <=50K',cluster1
4163,0,0,' Married-spouse-absent',' Unmarried',' Male',' <=50K',cluster0
4164,0,0,' Married-civ-spouse',' Wife',' Female',' >50K',cluster0
4165,0,0,' Married-civ-spouse',' Wife',' Female',' <=50K',cluster0
4166,0,0,' Never-married',' Own-child',' Female',' <=50K',cluster0
4167,0,0,' Married-civ-spouse',' Husband',' Male',' <=50K',cluster1
4168,0,0,' Never-married',' Not-in-family',' Female',' <=50K',cluster0
4169,0,0,' Married-civ-spouse',' Wife',' Female',' >50K',cluster0
4170,0,0,' Married-civ-spouse',' Husband',' Male',' <=50K',cluster1
4171,0,0,' Divorced',' Unmarried',' Female',' <=50K',cluster0
4172,0,1902,' Married-civ-spouse',' Husband',' Male',' >50K',cluster2
4173,0,0,' Never-married',' Own-child',' Female',' <=50K',cluster0
4174,0,0,' Never-married',' Own-child',' Female',' <=50K',cluster0
4175,0,0,' Separated',' Not-in-family',' Male',' <=50K',cluster0
4176,0,0,' Married-civ-spouse',' Husband',' Male',' >50K',cluster1
4177,0,1902,' Married-civ-spouse',' Husband',' Male',' >50K',cluster2
4178,0,0,' Married-civ-spouse',' Husband',' Male',' <=50K',cluster1
4179,0,0,' Never-married',' Not-in-family',' Female',' <=50K',cluster0
4180,0,0,' Never-married',' Own-child',' Male',' <=50K',cluster1
4181,0,0,' Widowed',' Not-in-family',' Female',' <=50K',cluster0
4182,0,0,' Married-civ-spouse',' Husband',' Male',' >50K',cluster1
4183,0,0,' Never-married',' Not-in-family',' Male',' <=50K',cluster1
4184,0,0,' Never-married',' Own-child',' Male',' <=50K',cluster1
4185,0,0,' Married-civ-spouse',' Husband',' Male',' <=50K',cluster1
4186,0,0,' Married-civ-spouse',' Husband',' Male',' <=50K',cluster1
4187,0,0,' Divorced',' Unmarried',' Female',' <=50K',cluster0
4188,2885,0,' Married-civ-spouse',' Husband',' Male',' <=50K',cluster1
4189,0,0,' Married-civ-spouse',' Husband',' Male',' <=50K',cluster1
4190,0,0,' Never-married',' Not-in-family',' Male',' <=50K',cluster1
4191,0,0,' Never-married',' Not-in-family',' Female',' <=50K',cluster0
4192,0,0,' Married-civ-spouse',' Husband',' Male',' <=50K',cluster1
4193,0,0,' Never-married',' Own-child',' Male',' <=50K',cluster1
4194,0,0,' Never-married',' Own-child',' Male',' <=50K',cluster1
4195,0,0,' Never-married',' Not-in-family',' Male',' <=50K',cluster1
4196,0,0,' Married-civ-spouse',' Husband',' Male',' <=50K',cluster1
4197,0,0,' Married-civ-spouse',' Husband',' Male',' <=50K',cluster1
4198,0,0,' Married-civ-spouse',' Wife',' Female',' <=50K',cluster0
4199,0,0,' Never-married',' Not-in-family',' Female',' <=50K',cluster0
4200,0,0,' Never-married',' Own-child',' Male',' <=50K',cluster1
4201,0,1672,' Married-civ-spouse',' Husband',' Male',' <=50K',cluster2
4202,0,0,' Divorced',' Not-in-family',' Female',' <=50K',cluster0
4203,14084,0,' Separated',' Not-in-family',' Male',' >50K',cluster1
4204,0,0,' Never-married',' Not-in-family',' Male',' <=50K',cluster1
4205,0,0,' Never-married',' Own-child',' Female',' <=50K',cluster0
4206,0,0,' Widowed',' Not-in-family',' Female',' <=50K',cluster0
4207,0,0,' Divorced',' Not-in-family',' Female',' <=50K',cluster0
4208,0,0,' Never-married',' Not-in-family',' Female',' >50K',cluster0
4209,0,0,' Never-married',' Own-child',' Female',' <=50K',cluster0
4210,0,0,' Married-civ-spouse',' Husband',' Male',' >50K',cluster1
4211,0,0,' Married-civ-spouse',' Husband',' Male',' <=50K',cluster1
4212,0,0,' Never-married',' Not-in-family',' Female',' <=50K',cluster0
4213,0,0,' Never-married',' Own-child',' Male',' <=50K',cluster1
4214,0,0,' Divorced',' Not-in-family',' Male',' <=50K',cluster0
4215,8614,0,' Never-married',' Not-in-family',' Female',' >50K',cluster1
4216,0,0,' Never-married',' Other-relative',' Male',' <=50K',cluster1
4217,0,0,' Never-married',' Own-child',' Female',' <=50K',cluster0
4218,0,0,' Never-married',' Not-in-family',' Male',' <=50K',cluster1
4219,0,0,' Never-married',' Not-in-family',' Female',' <=50K',cluster0
4220,0,0,' Never-married',' Not-in-family',' Female',' <=50K',cluster0
4221,0,0,' Divorced',' Unmarried',' Female',' <=50K',cluster0
4222,0,0,' Divorced',' Not-in-family',' Male',' >50K',cluster0
4223,0,0,' Never-married',' Own-child',' Male',' <=50K',cluster1
4224,0,0,' Never-married',' Own-child',' Female',' <=50K',cluster0
4225,0,0,' Separated',' Not-in-family',' Male',' <=50K',cluster0
4226,0,0,' Divorced',' Unmarried',' Female',' <=50K',cluster0
4227,0,0,' Never-married',' Not-in-family',' Male',' <=50K',cluster1
4228,0,0,' Divorced',' Unmarried',' Female',' <=50K',cluster0
4229,0,0,' Married-civ-spouse',' Wife',' Female',' <=50K',cluster0
4230,2829,0,' Married-civ-spouse',' Husband',' Male',' <=50K',cluster1
4231,0,0,' Divorced',' Unmarried',' Male',' <=50K',cluster0
4232,0,0,' Married-civ-spouse',' Husband',' Male',' >50K',cluster1
4233,0,0,' Never-married',' Not-in-family',' Female',' <=50K',cluster0
4234,0,0,' Widowed',' Unmarried',' Female',' <=50K',cluster0
4235,0,0,' Never-married',' Not-in-family',' Male',' <=50K',cluster1
4236,4931,0,' Married-civ-spouse',' Husband',' Male',' <=50K',cluster1
4237,0,0,' Never-married',' Own-child',' Male',' <=50K',cluster1
4238,0,0,' Married-civ-spouse',' Husband',' Male',' >50K',cluster1
4239,0,0,' Separated',' Unmarried',' Female',' <=50K',cluster0
4240,0,0,' Never-married',' Not-in-family',' Male',' <=50K',cluster1
4241,0,0,' Never-married',' Not-in-family',' Male',' <=50K',cluster1
4242,0,0,' Divorced',' Own-child',' Male',' <=50K',cluster0
4243,0,0,' Never-married',' Not-in-family',' Male',' <=50K',cluster1
4244,0,0,' Married-civ-spouse',' Husband',' Male',' <=50K',cluster1
4245,0,1980,' Never-married',' Not-in-family',' Male',' <=50K',cluster0
4246,0,0,' Married-civ-spouse',' Wife',' Female',' >50K',cluster0
4247,0,0,' Never-married',' Own-child',' Male',' <=50K',cluster1
4248,0,0,' Never-married',' Not-in-family',' Female',' <=50K',cluster0
4249,0,0,' Married-civ-spouse',' Husband',' Male',' <=50K',cluster1
4250,0,0,' Never-married',' Own-child',' Male',' <=50K',cluster1
4251,0,0,' Divorced',' Not-in-family',' Female',' <=50K',cluster0
4252,0,0,' Married-spouse-absent',' Not-in-family',' Male',' <=50K',cluster0
4253,0,0,' Divorced',' Unmarried',' Female',' <=50K',cluster0
4254,0,0,' Never-married',' Not-in-family',' Male',' <=50K',cluster1
4255,0,0,' Married-civ-spouse',' Husband',' Male',' >50K',cluster1
4256,0,0,' Married-civ-spouse',' Other-relative',' Female',' <=50K',cluster0
4257,0,0,' Married-civ-spouse',' Husband',' Male',' >50K',cluster1
4258,7688,0,' Married-civ-spouse',' Husband',' Male',' >50K',cluster1
4259,0,0,' Never-married',' Not-in-family',' Male',' <=50K',cluster1
4260,0,0,' Divorced',' Not-in-family',' Male',' <=50K',cluster0
4261,0,0,' Never-married',' Not-in-family',' Male',' <=50K',cluster1
4262,0,0,' Never-married',' Own-child',' Female',' <=50K',cluster0
4263,0,0,' Married-civ-spouse',' Wife',' Female',' <=50K',cluster0
4264,0,0,' Married-civ-spouse',' Husband',' Male',' >50K',cluster1
4265,3103,0,' Married-civ-spouse',' Husband',' Male',' >50K',cluster1
4266,15024,0,' Married-civ-spouse',' Husband',' Male',' >50K',cluster1
4267,0,1902,' Married-civ-spouse',' Husband',' Male',' >50K',cluster2
4268,0,0,' Never-married',' Not-in-family',' Male',' <=50K',cluster1
4269,0,0,' Never-married',' Other-relative',' Male',' <=50K',cluster1
4270,0,0,' Divorced',' Not-in-family',' Female',' <=50K',cluster0
4271,0,0,' Married-civ-spouse',' Husband',' Male',' >50K',cluster1
4272,0,0,' Never-married',' Own-child',' Male',' <=50K',cluster1
4273,0,0,' Widowed',' Unmarried',' Female',' <=50K',cluster0
4274,0,0,' Separated',' Not-in-family',' Female',' <=50K',cluster0
4275,0,0,' Married-civ-spouse',' Husband',' Male',' <=50K',cluster1
4276,0,0,' Never-married',' Not-in-family',' Female',' <=50K',cluster0
4277,0,0,' Never-married',' Own-child',' Male',' <=50K',cluster1
4278,0,0,' Separated',' Unmarried',' Male',' <=50K',cluster0
4279,0,0,' Divorced',' Unmarried',' Female',' <=50K',cluster0
4280,0,0,' Married-civ-spouse',' Husband',' Male',' <=50K',cluster1
4281,0,0,' Widowed',' Unmarried',' Female',' <=50K',cluster0
4282,0,0,' Married-civ-spouse',' Wife',' Female',' <=50K',cluster0
4283,0,0,' Married-civ-spouse',' Husband',' Male',' <=50K',cluster1
4284,0,0,' Never-married',' Own-child',' Female',' <=50K',cluster0
4285,0,1887,' Married-civ-spouse',' Husband',' Male',' >50K',cluster2
4286,0,0,' Never-married',' Other-relative',' Female',' <=50K',cluster0
4287,0,0,' Married-civ-spouse',' Husband',' Male',' <=50K',cluster1
4288,1086,0,' Divorced',' Not-in-family',' Female',' <=50K',cluster1
4289,0,0,' Never-married',' Not-in-family',' Male',' <=50K',cluster1
4290,0,0,' Married-civ-spouse',' Husband',' Male',' <=50K',cluster1
4291,0,0,' Married-civ-spouse',' Husband',' Male',' <=50K',cluster1
4292,0,0,' Never-married',' Unmarried',' Female',' <=50K',cluster0
4293,0,0,' Divorced',' Not-in-family',' Male',' <=50K',cluster0
4294,0,0,' Never-married',' Not-in-family',' Female',' <=50K',cluster0
4295,0,0,' Married-civ-spouse',' Husband',' Male',' <=50K',cluster1
4296,0,0,' Never-married',' Own-child',' Male',' <=50K',cluster1
4297,0,0,' Married-civ-spouse',' Husband',' Male',' >50K',cluster1
4298,0,0,' Never-married',' Not-in-family',' Female',' <=50K',cluster0
4299,0,0,' Never-married',' Own-child',' Female',' <=50K',cluster0
4300,0,0,' Never-married',' Not-in-family',' Female',' <=50K',cluster0
4301,0,0,' Never-married',' Unmarried',' Male',' <=50K',cluster0
4302,0,0,' Married-civ-spouse',' Husband',' Male',' <=50K',cluster1
4303,0,0,' Married-civ-spouse',' Husband',' Male',' <=50K',cluster1
4304,0,0,' Married-civ-spouse',' Husband',' Male',' >50K',cluster1
4305,0,1504,' Never-married',' Own-child',' Male',' <=50K',cluster0
4306,0,0,' Married-civ-spouse',' Husband',' Male',' >50K',cluster1
4307,0,0,' Married-civ-spouse',' Husband',' Male',' <=50K',cluster1
4308,0,0,' Married-civ-spouse',' Husband',' Male',' <=50K',cluster1
4309,0,0,' Widowed',' Not-in-family',' Female',' <=50K',cluster0
4310,0,0,' Never-married',' Own-child',' Female',' <=50K',cluster0
4311,0,0,' Married-civ-spouse',' Husband',' Male',' >50K',cluster1
4312,0,0,' Married-civ-spouse',' Husband',' Male',' >50K',cluster1
4313,0,0,' Never-married',' Own-child',' Male',' <=50K',cluster1
4314,0,0,' Divorced',' Not-in-family',' Female',' <=50K',cluster0
4315,0,0,' Married-civ-spouse',' Husband',' Male',' <=50K',cluster1
4316,0,0,' Widowed',' Not-in-family',' Female',' <=50K',cluster0
4317,0,0,' Separated',' Unmarried',' Male',' <=50K',cluster0
4318,0,0,' Never-married',' Not-in-family',' Female',' <=50K',cluster0
4319,0,0,' Married-civ-spouse',' Husband',' Male',' <=50K',cluster1
4320,0,0,' Never-married',' Own-child',' Male',' <=50K',cluster1
4321,0,0,' Married-civ-spouse',' Husband',' Male',' <=50K',cluster1
4322,27828,0,' Divorced',' Not-in-family',' Male',' >50K',cluster2
4323,0,0,' Never-married',' Not-in-family',' Male',' <=50K',cluster1
4324,0,0,' Separated',' Own-child',' Female',' <=50K',cluster0
4325,0,0,' Never-married',' Not-in-family',' Male',' <=50K',cluster1
4326,0,0,' Married-civ-spouse',' Husband',' Male',' <=50K',cluster1
4327,0,0,' Married-civ-spouse',' Husband',' Male',' >50K',cluster1
4328,0,0,' Never-married',' Own-child',' Male',' <=50K',cluster1
4329,0,0,' Divorced',' Not-in-family',' Male',' >50K',cluster0
4330,0,0,' Married-civ-spouse',' Husband',' Male',' >50K',cluster1
4331,0,0,' Married-civ-spouse',' Husband',' Male',' <=50K',cluster1
4332,0,0,' Married-civ-spouse',' Husband',' Male',' <=50K',cluster1
4333,0,0,' Never-married',' Not-in-family',' Male',' <=50K',cluster1
4334,0,0,' Married-civ-spouse',' Husband',' Male',' <=50K',cluster1
4335,0,0,' Married-civ-spouse',' Husband',' Male',' <=50K',cluster1
4336,0,0,' Never-married',' Unmarried',' Female',' <=50K',cluster0
4337,0,0,' Never-married',' Own-child',' Male',' <=50K',cluster1
4338,15024,0,' Married-civ-spouse',' Husband',' Male',' >50K',cluster1
4339,0,0,' Married-civ-spouse',' Husband',' Male',' >50K',cluster1
4340,0,0,' Married-spouse-absent',' Own-child',' Female',' <=50K',cluster0
4341,0,0,' Married-civ-spouse',' Husband',' Male',' >50K',cluster1
4342,0,0,' Never-married',' Own-child',' Female',' <=50K',cluster0
4343,7688,0,' Married-civ-spouse',' Husband',' Male',' >50K',cluster1
4344,7298,0,' Married-civ-spouse',' Husband',' Male',' >50K',cluster1
4345,0,0,' Married-civ-spouse',' Husband',' Male',' <=50K',cluster1
4346,0,0,' Never-married',' Unmarried',' Female',' <=50K',cluster0
4347,0,0,' Never-married',' Unmarried',' Female',' <=50K',cluster0
4348,0,0,' Divorced',' Not-in-family',' Female',' <=50K',cluster0
4349,15024,0,' Married-civ-spouse',' Husband',' Male',' >50K',cluster1
4350,0,0,' Never-married',' Own-child',' Male',' <=50K',cluster1
4351,0,0,' Married-civ-spouse',' Husband',' Male',' >50K',cluster1
4352,0,0,' Divorced',' Not-in-family',' Male',' <=50K',cluster0
4353,0,0,' Married-civ-spouse',' Wife',' Female',' <=50K',cluster0
4354,15024,0,' Married-civ-spouse',' Husband',' Male',' >50K',cluster1
4355,0,0,' Married-civ-spouse',' Husband',' Male',' <=50K',cluster1
4356,0,0,' Divorced',' Unmarried',' Male',' <=50K',cluster0
4357,0,0,' Never-married',' Own-child',' Male',' <=50K',cluster1
4358,0,0,' Never-married',' Not-in-family',' Female',' <=50K',cluster0
4359,8614,0,' Never-married',' Not-in-family',' Female',' >50K',cluster1
4360,0,0,' Never-married',' Own-child',' Male',' <=50K',cluster1
4361,0,0,' Married-civ-spouse',' Husband',' Male',' <=50K',cluster1
4362,0,0,' Never-married',' Not-in-family',' Female',' <=50K',cluster0
4363,0,0,' Married-civ-spouse',' Husband',' Male',' <=50K',cluster1
4364,0,0,' Never-married',' Unmarried',' Female',' <=50K',cluster0
4365,0,0,' Married-civ-spouse',' Husband',' Male',' >50K',cluster1
4366,0,0,' Married-civ-spouse',' Husband',' Male',' >50K',cluster1
4367,0,0,' Married-civ-spouse',' Husband',' Male',' <=50K',cluster1
4368,0,0,' Married-civ-spouse',' Wife',' Female',' >50K',cluster0
4369,0,0,' Never-married',' Own-child',' Female',' <=50K',cluster0
4370,0,0,' Married-civ-spouse',' Husband',' Male',' <=50K',cluster1
4371,0,0,' Married-civ-spouse',' Husband',' Male',' <=50K',cluster1
4372,0,0,' Never-married',' Own-child',' Female',' <=50K',cluster0
4373,0,0,' Never-married',' Own-child',' Male',' <=50K',cluster1
4374,0,1902,' Married-civ-spouse',' Husband',' Male',' >50K',cluster2
4375,0,0,' Never-married',' Not-in-family',' Male',' <=50K',cluster1
4376,0,1539,' Married-civ-spouse',' Husband',' Male',' <=50K',cluster2
4377,0,0,' Married-civ-spouse',' Husband',' Male',' <=50K',cluster1
4378,0,0,' Married-civ-spouse',' Wife',' Female',' >50K',cluster0
4379,0,0,' Never-married',' Own-child',' Male',' <=50K',cluster1
4380,0,1848,' Married-civ-spouse',' Husband',' Male',' >50K',cluster2
4381,0,0,' Married-spouse-absent',' Not-in-family',' Male',' >50K',cluster0
4382,0,0,' Divorced',' Not-in-family',' Female',' <=50K',cluster0
4383,0,0,' Never-married',' Other-relative',' Female',' <=50K',cluster0
4384,5013,0,' Married-civ-spouse',' Husband',' Male',' <=50K',cluster1
4385,0,0,' Married-civ-spouse',' Husband',' Male',' <=50K',cluster1
4386,0,0,' Separated',' Not-in-family',' Male',' <=50K',cluster0
4387,0,0,' Divorced',' Not-in-family',' Female',' <=50K',cluster0
4388,0,0,' Married-civ-spouse',' Husband',' Male',' <=50K',cluster1
4389,99999,0,' Married-civ-spouse',' Husband',' Male',' >50K',cluster2
4390,0,0,' Married-civ-spouse',' Wife',' Female',' >50K',cluster0
4391,0,0,' Never-married',' Other-relative',' Male',' <=50K',cluster1
4392,0,0,' Married-civ-spouse',' Husband',' Male',' <=50K',cluster1
4393,0,0,' Never-married',' Own-child',' Male',' <=50K',cluster1
4394,0,0,' Never-married',' Not-in-family',' Male',' <=50K',cluster1
4395,0,0,' Never-married',' Other-relative',' Male',' <=50K',cluster1
4396,0,0,' Never-married',' Not-in-family',' Female',' <=50K',cluster0
4397,0,0,' Never-married',' Not-in-family',' Female',' <=50K',cluster0
4398,0,1762,' Never-married',' Own-child',' Male',' <=50K',cluster0
4399,0,0,' Never-married',' Own-child',' Female',' <=50K',cluster0
4400,0,0,' Divorced',' Unmarried',' Female',' <=50K',cluster0
4401,5178,0,' Married-civ-spouse',' Wife',' Female',' >50K',cluster2
4402,0,0,' Never-married',' Own-child',' Female',' <=50K',cluster0
4403,0,0,' Married-civ-spouse',' Husband',' Male',' <=50K',cluster1
4404,0,0,' Married-civ-spouse',' Husband',' Male',' >50K',cluster1
4405,0,0,' Married-civ-spouse',' Husband',' Male',' >50K',cluster1
4406,0,0,' Never-married',' Own-child',' Female',' <=50K',cluster0
4407,15024,0,' Married-civ-spouse',' Husband',' Male',' >50K',cluster1
4408,0,0,' Married-civ-spouse',' Husband',' Male',' <=50K',cluster1
4409,0,0,' Never-married',' Other-relative',' Female',' <=50K',cluster0
4410,0,0,' Married-civ-spouse',' Husband',' Male',' <=50K',cluster1
4411,0,0,' Married-civ-spouse',' Husband',' Male',' >50K',cluster1
4412,0,0,' Divorced',' Own-child',' Female',' <=50K',cluster0
4413,0,0,' Never-married',' Own-child',' Female',' <=50K',cluster0
4414,0,0,' Never-married',' Not-in-family',' Female',' <=50K',cluster0
4415,0,0,' Divorced',' Not-in-family',' Male',' <=50K',cluster0
4416,0,0,' Never-married',' Own-child',' Female',' <=50K',cluster0
4417,0,0,' Married-civ-spouse',' Husband',' Male',' >50K',cluster1
4418,0,0,' Widowed',' Unmarried',' Female',' <=50K',cluster0
4419,0,0,' Never-married',' Other-relative',' Male',' <=50K',cluster1
4420,0,0,' Separated',' Unmarried',' Male',' <=50K',cluster0
4421,99999,0,' Married-civ-spouse',' Husband',' Male',' >50K',cluster2
4422,0,0,' Widowed',' Not-in-family',' Female',' <=50K',cluster0
4423,0,0,' Divorced',' Unmarried',' Male',' <=50K',cluster0
4424,0,880,' Divorced',' Unmarried',' Female',' <=50K',cluster0
4425,0,0,' Married-civ-spouse',' Husband',' Male',' <=50K',cluster1
4426,0,0,' Married-civ-spouse',' Husband',' Male',' <=50K',cluster1
4427,0,0,' Never-married',' Not-in-family',' Female',' <=50K',cluster0
4428,0,0,' Married-civ-spouse',' Husband',' Male',' <=50K',cluster1
4429,0,0,' Married-civ-spouse',' Husband',' Male',' <=50K',cluster1
4430,0,0,' Married-civ-spouse',' Wife',' Female',' <=50K',cluster0
4431,0,0,' Never-married',' Not-in-family',' Female',' <=50K',cluster0
4432,0,0,' Divorced',' Not-in-family',' Male',' <=50K',cluster0
4433,0,0,' Married-civ-spouse',' Husband',' Male',' >50K',cluster1
4434,0,0,' Never-married',' Not-in-family',' Male',' <=50K',cluster1
4435,0,0,' Divorced',' Not-in-family',' Female',' <=50K',cluster0
4436,0,0,' Married-civ-spouse',' Husband',' Male',' <=50K',cluster1
4437,0,0,' Never-married',' Not-in-family',' Female',' >50K',cluster0
4438,0,0,' Married-civ-spouse',' Husband',' Male',' >50K',cluster1
4439,0,0,' Never-married',' Not-in-family',' Male',' <=50K',cluster1
4440,0,0,' Married-civ-spouse',' Husband',' Male',' >50K',cluster1
4441,0,0,' Married-civ-spouse',' Husband',' Male',' >50K',cluster1
4442,0,0,' Never-married',' Not-in-family',' Female',' <=50K',cluster0
4443,0,0,' Married-civ-spouse',' Husband',' Male',' >50K',cluster1
4444,0,0,' Never-married',' Own-child',' Male',' <=50K',cluster1
4445,0,0,' Married-civ-spouse',' Husband',' Male',' >50K',cluster1
4446,0,0,' Separated',' Not-in-family',' Female',' <=50K',cluster0
4447,0,0,' Never-married',' Own-child',' Female',' <=50K',cluster0
4448,0,0,' Divorced',' Not-in-family',' Male',' <=50K',cluster0
4449,0,0,' Divorced',' Not-in-family',' Male',' <=50K',cluster0
4450,0,0,' Never-married',' Not-in-family',' Male',' <=50K',cluster1
4451,0,0,' Never-married',' Not-in-family',' Female',' <=50K',cluster0
4452,0,0,' Never-married',' Own-child',' Female',' <=50K',cluster0
4453,0,0,' Married-civ-spouse',' Wife',' Female',' <=50K',cluster0
4454,0,0,' Never-married',' Other-relative',' Male',' <=50K',cluster1
4455,0,0,' Married-civ-spouse',' Husband',' Male',' <=50K',cluster1
4456,0,0,' Married-civ-spouse',' Husband',' Male',' <=50K',cluster1
4457,0,0,' Divorced',' Own-child',' Male',' <=50K',cluster0
4458,0,0,' Divorced',' Unmarried',' Male',' <=50K',cluster0
4459,0,0,' Never-married',' Not-in-family',' Male',' <=50K',cluster1
4460,0,0,' Divorced',' Unmarried',' Female',' <=50K',cluster0
4461,0,0,' Never-married',' Own-child',' Male',' <=50K',cluster1
4462,0,0,' Married-civ-spouse',' Husband',' Male',' <=50K',cluster1
4463,0,0,' Widowed',' Unmarried',' Female',' <=50K',cluster0
4464,0,0,' Never-married',' Not-in-family',' Male',' <=50K',cluster1
4465,0,1977,' Married-civ-spouse',' Husband',' Male',' >50K',cluster2
4466,0,0,' Married-civ-spouse',' Wife',' Female',' >50K',cluster0
4467,0,0,' Married-civ-spouse',' Husband',' Male',' <=50K',cluster1
4468,0,0,' Never-married',' Own-child',' Female',' <=50K',cluster0
4469,0,0,' Never-married',' Own-child',' Male',' <=50K',cluster1
4470,0,0,' Married-civ-spouse',' Husband',' Male',' >50K',cluster1
4471,0,1485,' Married-civ-spouse',' Husband',' Male',' >50K',cluster2
